trial,start_time,rt,correct,fact_id,question,answer,question2,alpha,block,group_number,ID_code_1,ID_code_2,is_gamification,answer_given,shots_fired,shots_fired_total,ship_name,ship_color,lives,level,enemies_on_screen
1,2439.0,4447.0,False,31.0,18 x 8,144.0,8 x 18,0.3,1,1,p270,m586,False,36.0,,,,,,,
2,,,,,,,,,1,1,p270,m586,[False],48.0,,,,,,,
3,,,,,,,,,1,1,k19,E282,[False],22.0,,,,,,,
4,,,,,,,,,1,1,Y531,e141,[False],,,,,,,,
5,,,,,,,,,1,1,,,[False],36.0,,,,,,,
6,,,,,,,,,1,2,g624,H10,True,2.0,1.0,3.0,pointy_boy,['green'],3.0,2.0,1.0
7,,,,,,,,,1,2,E179,S363,True,153.0,1.0,1.0,commander_cosmonaut,['purple'],3.0,1.0,1.0
8,,,,,,,,,1,2,E179,S363,True,63.0,1.0,2.0,commander_cosmonaut,['purple'],3.0,1.0,2.0
9,,,,,,,,,1,2,E179,S363,True,153.0,1.0,3.0,commander_cosmonaut,['purple'],3.0,2.0,2.0
10,,,,,,,,,1,2,R610,j334,True,27.0,1.0,1.0,pointy_boy,['red'],3.0,1.0,1.0
11,,,,,,,,,1,2,x674,p293,True,2.0,1.0,1.0,pointy_boy,['green'],3.0,1.0,1.0
12,,,,,,,,,1,2,C299,Z890,True,2.0,1.0,1.0,pointy_boy,['green'],3.0,1.0,1.0
13,,,,,,,,,2,1,,,True,29.0,1.0,1.0,pointy_boy,['red'],3.0,1.0,1.0
14,,,,,,,,,2,1,,,True,36.0,1.0,2.0,pointy_boy,['red'],3.0,1.0,1.0
