trial,start_time,rt,correct,fact_id,question,answer,question2,alpha,block,group_number,ID_code_1,ID_code_2,is_gamification,answer_given
1,12424,1574,True,10009,9 x 2,18,2 x 9,0.3,1.0,1.0,n865,M519,False,162.0
2,30008,1715,False,10009,9 x 2,18,2 x 9,0.3,1.0,1.0,n865,M519,[False],999.0
3,47151,7609,True,32,18 x 9,162,9 x 18,0.3,1.0,1.0,n865,M519,[False],63.0
4,57766,1416,False,32,18 x 9,162,9 x 18,0.3,1.0,1.0,n865,M519,[False],117.0
5,62197,3080,True,16,7 x 9,63,9 x 7,0.3,1.0,1.0,n865,M519,[False],63.0
6,68298,4509,True,24,13 x 9,117,9 x 13,0.3,1.0,1.0,n865,M519,[False],117.0
7,75826,1806,True,16,7 x 9,63,9 x 7,0.3,1.0,1.0,n865,M519,[False],26.0
8,80651,1425,True,24,13 x 9,117,9 x 13,0.3,1.0,1.0,n865,M519,[False],21.0
9,85095,1907,True,17,13 x 2,26,2 x 13,0.3,1.0,1.0,n865,M519,[False],26.0
10,90021,3009,True,10,7 x 3,21,3 x 7,0.3,1.0,1.0,n865,M519,[False],2.0
11,96055,1332,True,17,13 x 2,26,2 x 13,0.3,,,,,,
12,100406,1335,False,10,7 x 3,21,3 x 7,0.3,,,,,,
