trial,block,is_gamification,answer_given,shots_fired,shots_fired_total,ship_name,ship_color,lives,level,enemies_on_screen
1,1,True,12,3,3,pointy_boy,purple,3,1,1
2,1,[True],14,1,4,['pointy_boy'],['purple'],3,1,1
3,1,[True],65,1,5,['pointy_boy'],['purple'],3,1,2
4,1,[True],65,1,6,['pointy_boy'],['purple'],3,1,1
5,1,[True],45,1,7,['pointy_boy'],['purple'],3,2,0
6,1,[True],42,1,8,['pointy_boy'],['purple'],3,2,0
7,1,[True],45,1,9,['pointy_boy'],['purple'],3,2,0
8,1,[True],42,1,10,['pointy_boy'],['purple'],3,3,1
9,1,[True],113,1,11,['pointy_boy'],['purple'],3,3,0
10,1,[True],162,1,12,['pointy_boy'],['purple'],3,3,2
11,1,[True],117,1,13,['pointy_boy'],['purple'],3,3,1
12,1,[True],65,1,14,['pointy_boy'],['purple'],3,4,1
13,1,[True],81,1,15,['pointy_boy'],['purple'],3,4,0
14,1,[True],18,1,16,['pointy_boy'],['purple'],3,4,0
15,1,[True],81,1,17,['pointy_boy'],['purple'],3,5,2
16,1,[True],18,1,18,['pointy_boy'],['purple'],3,5,1
17,1,[True],45,1,19,['pointy_boy'],['purple'],3,5,1
18,1,[True],42,1,20,['pointy_boy'],['purple'],3,6,1
19,1,[True],162,1,21,['pointy_boy'],['purple'],3,6,1
20,1,[True],1,1,22,['pointy_boy'],['purple'],3,6,2
21,1,[True],1,1,23,['pointy_boy'],['purple'],3,6,2
22,1,[True],12,1,24,['pointy_boy'],['purple'],3,6,2
23,1,[True],17,1,25,['pointy_boy'],['purple'],3,7,2
24,1,[True],81,1,26,['pointy_boy'],['purple'],3,7,1
25,1,[True],18,1,27,['pointy_boy'],['purple'],3,7,2
26,1,[True],104,1,28,['pointy_boy'],['purple'],3,7,1
